<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2004.03.22;00:00:00;1.22740;1.22830;1.22280;1.22320;1349;0;40
2004.03.22;04:00:00;1.22310;1.22760;1.22220;1.22750;1374;0;40
2004.03.22;08:00:00;1.22740;1.23610;1.22500;1.23570;2024;0;40
2004.03.22;12:00:00;1.23570;1.23780;1.23310;1.23630;1838;0;40
2004.03.22;16:00:00;1.23630;1.24030;1.23500;1.23630;1927;0;40
2004.03.22;20:00:00;1.23610;1.23690;1.23220;1.23460;1547;0;40
2004.03.23;00:00:00;1.23450;1.23500;1.23210;1.23400;1317;0;40
2004.03.23;04:00:00;1.23390;1.23670;1.23360;1.23510;1462;0;40
2004.03.23;08:00:00;1.23500;1.23720;1.23050;1.23270;1830;0;40
2004.03.23;12:00:00;1.23260;1.23280;1.22640;1.22990;1989;0;40
2004.03.23;16:00:00;1.23000;1.23500;1.22750;1.23350;1854;0;40
2004.03.23;20:00:00;1.23360;1.23540;1.23160;1.23510;1533;0;40
2004.03.24;00:00:00;1.23530;1.23700;1.23180;1.23220;1377;0;40
2004.03.24;04:00:00;1.23230;1.23390;1.23100;1.23260;1414;0;40
2004.03.24;08:00:00;1.23260;1.23290;1.22300;1.22410;2035;0;40
2004.03.24;12:00:00;1.22420;1.22560;1.21650;1.21940;2177;0;40
2004.03.24;16:00:00;1.21930;1.22310;1.21440;1.21650;2072;0;40
2004.03.24;20:00:00;1.21610;1.21670;1.21090;1.21220;1555;0;40
2004.03.25;00:00:00;1.21210;1.21420;1.21040;1.21240;1465;0;40
2004.03.25;04:00:00;1.21240;1.21520;1.21230;1.21370;1332;0;40
2004.03.25;08:00:00;1.21390;1.21640;1.20960;1.21560;2368;0;40
2004.03.25;12:00:00;1.21580;1.21680;1.20970;1.21370;2162;0;40
2004.03.25;16:00:00;1.21380;1.22030;1.21330;1.21580;2171;0;40
2004.03.25;20:00:00;1.21590;1.21660;1.21160;1.21190;1571;0;40
